ID,Country,keywords,avg cost per day,climate
0,Andorra,europe history mountain,116,cold
1,United Arab Emirates,skyscrapper desert beach asia,116,hot
2,Afghanistan,mountain desert asia food culture,112,mix
3,Antigua and Barbuda,island northamerica beach,142,hot
4,Anguilla,island beach southamerica,139,hot
5,Albania,europe mountain history beach,109,mix
6,Armenia,mountain asia history,114,hot
7,Angola,africa plain culture wildlife,112,hot
8,Argentina,mountain beach southamerica food,114,mix
9,American Samoa,island beach culture,135,hot
10,Austria,mountain europe food,116,cold
11,Australia,desert plain beach australia,112,hot
12,Aruba,island history europe,103,hot
13,Aland Islands,island europe beach,97,hot
14,Azerbaijan,mountain asia plain,116,cold
15,Bosnia and Herzegovina,mountain beach europe history,106,hot
16,Barbados,northamerica island beach,142,hot
17,Bangladesh,asia plain beach culture,112,hot
18,Burkina Faso,africa plain history culture,106,hot
19,Bulgaria,mountain europe history,110,cold
20,Bahrain,island beach asia,115,hot
21,Burundi,africa food culture plain wildlife,117,hot
22,Benin,beach plain africa culture food,117,hot
23,Saint Barthelemy,island northamerica beach culture,86,hot
24,Bermuda,island northamerica beach,112,hot
25,Brunei,asia island beach food culture,101,hot
26,Bolivia,southamerica beach history plain,114,hot
27,Bonaire,island beach southamerica food,95,hot
28,Brazil,southamerica mountain beach food culture,112,hot
29,Bahamas,island northamerica beach culture,120,hot
30,Bhutan,asia mountain culture food history,126,cold
31,Botswana,africa culture plain food,114,hot
32,Belarus,europe plain food,110,mix
33,Belize,northamerica beach food,112,hot
34,Canada,northamerica skyscrapper mountain plain,112,cold
35,Cocos Islands,asia beach island,110,hot
36,Democratic Republic of the Congo,africa plain wildlife,109,hot
37,Central African Republic,africa plain food wildlife,112,hot
38,Republic of the Congo,wildlife africa plain,110,hot
39,Switzerland,mountain europe food,111,cold
40,Ivory Coast,africa wildlife plain,111,hot
41,Cook Islands,island beach asia,119,hot
42,Chile,southamerica forest wildlife,114,mix
43,Cameroon,africa beach plain culture,116,hot
44,China,asia skyscrapper wildlife mountain desert history,112,mix
45,Colombia,southamerica mountain beach forest,113,hot
46,Costa Rica,southamerica mountain forest culture history,110,hot
47,Cuba,southamerica mountain beach history island,113,hot
48,Cabo Verde,africa island beach,123,hot
49,Curacao,southamerica island beach,83,hot
50,Christmas Island,island asia beach food,117,mix
